month,E_total_kgCO2eq,Q_m3,E_intensity
1月,65028629.997712635,171815900.0,0.378478534278333
2月,43989384.91323548,125348800.0,0.3509358279715121
3月,64441710.09507957,183012800.0,0.35211586345370144
4月,63401670.39316492,184721200.0,0.34322898721513784
5月,70666876.71407485,217526300.0,0.32486589765961565
6月,69941388.486781,240256100.0,0.2911118114661022
