月份,处理水量(万m³),用电量(万kWh),Scope1(tCO₂),Scope2(tCO₂),Scope3(tCO₂),合计(tCO₂),单位碳排(kgCO₂/m³)
2025.10,20105.93,7077.207171999999,27555.9,41323.8,31700.0,100579.7,0.5098
2025.11,17505.89,6930.28476,23190.8,40465.9,31360.8,95017.6,0.5353
2025.12,17670.66,7221.4101120000005,21014.0,42165.8,30315.4,93495.2,0.5392
2026.01,17181.59,7193.867402,19877.1,42005.0,31918.6,93800.7,0.5564
2026.02,12534.88,5639.403,15843.7,32928.5,25333.3,74105.5,0.5442
2026.03,18301.28,7312.354240000001,22077.5,42696.8,30042.7,94817.0,0.528
