厂站名称,设计规模(万m³/d),日均流量(m³/d),吨水电耗(kWh/m³),年碳排放(tCO₂),单位碳排(kgCO₂/m³),Scope1%,Scope2%,Scope3%
布吉三期,10.0,31970,0.978,11343.0,0.9721,12.8,57.9,29.2
东涌,0.3,592,0.971,220.4,1.0193,23.6,54.9,21.5
罗芳,40.0,224542,0.759,63362.7,0.7731,16.1,56.5,27.3
滨河,30.0,228844,0.694,48688.8,0.5829,21.4,68.6,10.0
埔地吓三期,5.0,20455,0.656,5090.4,0.6818,18.3,55.4,26.3
洪湖,5.0,38774,0.636,14634.1,1.0340,23.3,35.4,41.3
沙井三期,20.0,36687,0.603,9804.2,0.7322,17.0,47.4,35.5
