月份,处理水量(万m³),用电量(万kWh),Scope1(tCO₂),Scope2(tCO₂),Scope3(tCO₂),合计(tCO₂),单位碳排(kgCO₂/m³),进水COD(mg/L),进水TN(mg/L),进水NH3N(mg/L),水温(°C),水质数据来源,是否电耗估算
2025.10,20105.93,7077.207,28523.2,37304.0,31700.0,97527.2,0.4944,290.0,38.0,30.0,26.0,典型值估算,否
2025.11,17505.89,6930.285,24061.1,36529.5,31360.8,91951.5,0.5181,290.0,38.0,30.0,22.0,典型值估算,否
2025.12,17670.66,7221.41,21864.1,38064.1,30315.4,90243.6,0.5205,290.0,38.0,30.0,17.0,典型值估算,否
2026.01,17181.59,7193.867,24570.9,37918.9,33415.1,95904.9,0.5689,334.032,44.668,34.903,15.0,XLS实测,否
2026.02,12534.88,5639.403,17387.5,29725.3,25410.8,72523.6,0.5326,292.826,39.855,30.378,14.0,XLS实测,否
2026.03,18301.28,7312.354,25253.0,38543.4,30064.5,93860.9,0.5227,290.603,41.125,31.304,18.0,XLS实测,否
2026.04,18472.12,7178.635,26514.0,37838.6,32134.2,96486.8,0.5152,277.895,39.415,29.428,22.0,XLS实测,是
2026.05,21752.63,7806.149,27997.8,41146.2,36124.2,105268.3,0.4932,255.13,34.951,25.774,26.0,XLS实测,是
2026.06,24025.61,8174.954,27748.8,43090.2,37559.2,108398.2,0.445,204.01,29.217,21.085,28.5,XLS实测,是
